|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
169|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
155|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|261.2||c
180|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
177|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
181|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
176|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
182|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
179|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
174|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
184|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
183|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
185|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
172|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
186|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
171|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
170|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
187|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
173|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
178|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
248||478160104|CASH RECEIPT DIVIDEND EARNED ON JOHNSON & JOHNSON $ 0.750000/SHARE ON 3000 SHARES Due 12/08/2015|12/8/15|2250.0||i
10|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-16500.0||c
9|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-1750.0||c
299|2250.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/8/15|-2250.0|-1.0|b
339|-45878.56|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/8/15|45878.56|-1.0|s
7|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-11700.0||c
4|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-406.2||c
3|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-365.0||c
8|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-435.96||c
6|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-519.2||c
5|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-13720.0||c
2|||CASH DISBURSEMENT PAID TO XXXXXXX|12/8/15|-482.2||c
340|-485.2|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/9/15|485.2|-1.0|s
11|||CASH DISBURSEMENT PAID TO XXXXXXX|12/9/15|-485.2||c
266||773903109|CASH RECEIPT DIVIDEND EARNED ON ROCKWELL AUTOMATION, INC. $ 0.725000/SHARE ON 2500 SHARES Due 12/10/2015|12/10/15|1812.5||i
300|5462.5|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/10/15|-5462.5|-1.0|b
12|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/10/15|482.2||c
244||30231G102|CASH RECEIPT DIVIDEND EARNED ON EXXON MOBIL CORP $ 0.730000/SHARE ON 5000 SHARES Due 12/10/2015|12/10/15|3650.0||i
301|482.2|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/10/15|-482.2|-1.0|b
240||263534109|CASH RECEIPT DIVIDEND EARNED ON DU PONT (E I) DE NEMOURS $ 0.380000/SHARE ON 5400 SHARES Due 12/14/2015|12/14/15|2052.0||i
302|2084.4|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/14/15|-2084.4|-1.0|b
227||163851108|CASH RECEIPT DIVIDEND EARNED ON CHEMOURS CO $ 0.030000/SHARE ON 1080 SHARES Due 12/14/2015|12/14/15|32.4||i
231||25746U109|CASH RECEIPT DIVIDEND EARNED ON DOMINION RES INC VA NEW $ 0.647500/SHARE ON 6000 SHARES Due 12/20/2015|12/21/15|3885.0||i
303|3885.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/21/15|-3885.0|-1.0|b
13|||CASH DISBURSEMENT PAID TO XXXXXXX|12/22/15|-225000.0||c
341|-225000.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/22/15|225000.0|-1.0|s
16|||CASH DISBURSEMENT PAID TO XXXXXXX|12/23/15|-10000.0||c
14|||CASH DISBURSEMENT PAID TO XXXXXXX|12/23/15|-10000.0||c
17|||CASH DISBURSEMENT PAID TO XXXXXXX|12/23/15|-5000.0||c
15|||CASH DISBURSEMENT PAID TO XXXXXXX|12/23/15|-10000.0||c
342|-35000.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/23/15|35000.0|-1.0|s
304|750.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/24/15|-750.0|-1.0|b
